sample_id,source_file,true_label,transcript,risk_score,category,traffic_light,predicted_label,correct,whisper_latency_s,llm_latency_s,total_latency_s,matched_patterns,pattern_count,strong_hits,medium_hits,error
sample_032,C:\src\guardian_line\data\scam\audio-wav-16khz_463263_normalized.txt,scam,"This is an important call regarding illegal enforcement action being executed under your name for suspicious fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next av",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_033,C:\src\guardian_line\data\scam\audio-wav-16khz_544702_normalized.txt,scam,"your identity. The court has issued a suspension notice along with warrant against your name. Ignoring this message will be an intentional second attempt. To avoid initial appearance before a magistrate, judge, or grand jury for federal criminal offense, this is the final attempt to reach you. For more information, press 1 and hold for the next available officer.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_034,C:\src\guardian_line\data\scam\audio-wav-16khz_66973_normalized.txt,scam,"Before using any financial accounts, please contact Apple Support Advisor. Press 1 to connect with Apple Support Advisor. Press 2 to listen to this message again. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_035,C:\src\guardian_line\data\scam\audio-wav-16khz_509676_normalized.txt,scam,related to your name. We are trying to reach you but unfortunately we missed your answer. In order to connect our legal department press 1 so that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you then you will face some legal consequences. To connect now press 1 and you will be automatically connect to the concerned department. By this call you have been officially notified. Thank you.,5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_036,C:\src\guardian_line\data\scam\audio-wav-16khz_530083_normalized.txt,scam,"Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with Officer press 1. I repeat press 1. Thank you and have a great day.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_037,C:\src\guardian_line\data\scam\audio-wav-16khz_463260_normalized.txt,scam,"This is an important call regarding a legal enforcement action being executed under your name for suspicious and fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the nex",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_038,C:\src\guardian_line\data\scam\audio-wav-16khz_535208_normalized.txt,scam,"You now qualify for 0% interest rate on all your credit card account. This is the limited time offer, and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_039,C:\src\guardian_line\data\scam\audio-wav-16khz_638881_normalized.txt,scam,"This call is from Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_040,C:\src\guardian_line\data\scam\audio-wav-16khz_711071_normalized.txt,scam,"Thank you for connecting. I am the virtual assistant for Margaret Smith with Central Processing Center for Federal Back Tax Negotiations. The purpose of her call was to make you aware that the government suspended the Tax Collection Act and will settle all old tax debts that U.S. residents may have. This means you are not going to need to pay back your past due taxes since they are non-collectible and ready to be settled. Using our automated approval technology, you are now able to obtain enroll",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_041,C:\src\guardian_line\data\scam\audio-wav-16khz_1631035650.66108_in_AKA_Management_Robocall__Computer-Hijack_normalized.txt,scam,"Hello, this call is from Microsoft Help Center. We encounter a serious issue coming out of your computer. It seems to be someone is trying to hijack your identity and try to steal your social security number and personal information. If it's not fixed right away then your computer will become obsolete and all of your credential information may got compromised. If you are the one who is using Microsoft Windows in your computer, then please press 7 now to speak with security team now. Please ignor",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_042,C:\src\guardian_line\data\scam\audio-wav-16khz_795470_normalized.txt,scam,"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for App iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_043,C:\src\guardian_line\data\scam\audio-wav-16khz_1034902_normalized.txt,scam,"SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_044,C:\src\guardian_line\data\scam\audio-wav-16khz_s6diZGlyX3I3cGRpcjp0b21jYXQ5MzE1OjE2MzQ4NDA2ODIyMTNL98qFNd.gen_Global_Net_Holdings_Robocall__Utility-30MinDisconnect_normalized.txt,scam,"Hi, this is an automated message from the Disconnection Department of Pacific Gas and Electric, Electricity Company. This call is to inform you that your power will get disconnected in 30 minutes due to a pending balance on the account. If you need to speak with a representative for further information, please press 1. Thank you for choosing Pacific Gas and Electric. Goodbye.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_045,C:\src\guardian_line\data\scam\audio-wav-16khz_857381_normalized.txt,scam,"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_046,C:\src\guardian_line\data\scam\audio-wav-16khz_509601_normalized.txt,scam,"We are calling you from the Department of Social Security Administration. The reason you received this phone call from our department is to inform you that there is a legal enforcement action filed on your Social Security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_047,C:\src\guardian_line\data\scam\audio-wav-16khz_947222_normalized.txt,scam,"calling you from the legal department, the very second you receive this message you need to leave your work aside, so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_048,C:\src\guardian_line\data\scam\audio-wav-16khz_431124_normalized.txt,scam,"We are calling you from the Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that there is illegal information filed on your social security for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_049,C:\src\guardian_line\data\scam\audio-wav-16khz_872731_normalized.txt,scam,"Hi there, I'm calling you from AT&T Direct TV to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 888-604-0734 from 8am to 5pm Pacific Standard Time. Thank you and have a great day.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_050,C:\src\guardian_line\data\scam\audio-wav-16khz_823634_normalized.txt,scam,"We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_051,C:\src\guardian_line\data\safe\safe_01.txt,safe,"Hi Mom, it's Sarah. Just calling to check in. How are you feeling today?",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_052,C:\src\guardian_line\data\safe\safe_02.txt,safe,"Hello, this is Dr. Johnson's office calling to confirm your appointment on Thursday at 2pm.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_053,C:\src\guardian_line\data\safe\safe_03.txt,safe,"Hey Dad, it's Mike. Are you free for dinner on Sunday? We'd love to have you over.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_054,C:\src\guardian_line\data\safe\safe_04.txt,safe,"Hi, this is the pharmacy calling. Your prescription for lisinopril is ready for pickup.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_055,C:\src\guardian_line\data\safe\safe_05.txt,safe,"Hello, this is your neighbor Carol. I found your mail in my box by mistake. I'll drop it over.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_056,C:\src\guardian_line\data\safe\safe_06.txt,safe,"Hi Grandma, it's Emma. I just wanted to say happy birthday! We're coming to visit next week.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_057,C:\src\guardian_line\data\safe\safe_07.txt,safe,This is a reminder from your dentist office. You have a cleaning scheduled for next Monday.,5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
sample_058,C:\src\guardian_line\data\safe\safe_08.txt,safe,"Hey, it's Dave from next door. Your car lights are on. Thought you'd want to know.",5.0,Error,YELLOW,safe,False,0.0,0.0,0.0,,0,,,Failed to load model from file: C:\src\guardian_line\models\phi-3-mini-4k-instruct.Q4_K_M.gguf
